Step,X,Y,Z
13020,2,-4.26332e+06,5.20791e+06,0
13080,0,2839.43,32.9157,0
13080,1,3.84169e+08,1.33661e+07,0
13080,2,-4.60994e+06,4.9022e+06,0
13140,0,2865.53,33.3707,0
13140,1,3.84167e+08,1.34274e+07,0
13140,2,-4.93487e+06,4.57343e+06,0
13200,0,2891.75,33.8298,0
13200,1,3.84165e+08,1.34887e+07,0
13200,2,-5.23657e+06,4.22315e+06,0
13260,0,2918.1,34.2932,0
13260,1,3.84163e+08,1.355e+07,0
13260,2,-5.51361e+06,3.85299e+06,0
13320,0,2944.56,34.7608,0
13320,1,3.84161e+08,1.36112e+07,0
13320,2,-5.76468e+06,3.4647e+06,0
13380,0,2971.14,35.2326,0
13380,1,3.84159e+08,1.36725e+07,0
13380,2,-5.98859e+06,3.06008e+06,0
13440,0,2997.84,35.7086,0
13440,1,3.84156e+08,1.37338e+07,0
